,0,1,2,accuracy,macro avg,weighted avg
precision,0.6,0.7777777777777778,0.7142857142857143,0.6744186046511628,0.6973544973544974,0.6992248062015504
recall,0.8571428571428571,0.4666666666666667,0.7142857142857143,0.6744186046511628,0.6793650793650793,0.6744186046511628
f1-score,0.7058823529411765,0.5833333333333334,0.7142857142857143,0.6744186046511628,0.6678338001867413,0.6658686730506156
support,14.0,15.0,14.0,0.6744186046511628,43.0,43.0
