,0,1,2,accuracy,macro avg,weighted avg
precision,0.7096774193548387,0.782608695652174,0.6888888888888889,0.7171717171717171,0.7270583346319673,0.7317951212294364
recall,0.9166666666666666,0.45,0.8857142857142857,0.7171717171717171,0.7507936507936508,0.7171717171717171
f1-score,0.8,0.5714285714285714,0.775,0.7171717171717171,0.7154761904761905,0.6988095238095238
support,24.0,40.0,35.0,0.7171717171717171,99.0,99.0
