,0,1,2,accuracy,macro avg,weighted avg
precision,0.631578947368421,0.6829268292682927,0.5,0.631578947368421,0.6048352588789045,0.6296534017971759
recall,0.631578947368421,0.7,0.47058823529411764,0.631578947368421,0.6007223942208463,0.631578947368421
f1-score,0.631578947368421,0.691358024691358,0.48484848484848486,0.631578947368421,0.6025951523027546,0.6304920550534585
support,38.0,40.0,17.0,0.631578947368421,95.0,95.0
